2026-01-09 10:03:30,127 - INFO - Gradient Accumulation Steps: 1
2026-01-09 10:03:30,127 - INFO - Micro Batch Size: 16
2026-01-09 10:03:30,128 - INFO - Target Train Batch Size (per GPU): 16
2026-01-09 10:03:30,143 - INFO - epoch:0 start
2026-01-09 10:23:42,809 - INFO - train loss:5.1864, step:1500
2026-01-09 10:23:50,057 - INFO - train loss:5.2633, step:1510
2026-01-09 10:23:57,293 - INFO - train loss:5.4126, step:1520
2026-01-09 10:24:04,501 - INFO - train loss:5.2682, step:1530
2026-01-09 10:24:11,698 - INFO - train loss:5.3463, step:1540
2026-01-09 10:24:18,887 - INFO - train loss:5.2788, step:1550
2026-01-09 10:24:26,064 - INFO - train loss:5.2438, step:1560
2026-01-09 10:24:33,243 - INFO - train loss:5.1470, step:1570
2026-01-09 10:24:40,411 - INFO - train loss:5.3023, step:1580
2026-01-09 10:24:47,581 - INFO - train loss:5.2819, step:1590
2026-01-09 10:24:54,751 - INFO - train loss:5.2374, step:1600
2026-01-09 10:25:01,916 - INFO - train loss:5.2297, step:1610
2026-01-09 10:25:09,084 - INFO - train loss:5.1838, step:1620
2026-01-09 10:25:16,245 - INFO - train loss:5.2492, step:1630
2026-01-09 10:25:23,407 - INFO - train loss:5.2136, step:1640
2026-01-09 10:25:30,572 - INFO - train loss:5.3016, step:1650
2026-01-09 10:25:37,732 - INFO - train loss:5.2210, step:1660
2026-01-09 10:25:44,902 - INFO - train loss:5.2449, step:1670
2026-01-09 10:25:52,067 - INFO - train loss:5.2132, step:1680
2026-01-09 10:25:59,246 - INFO - train loss:5.2762, step:1690
2026-01-09 10:26:06,417 - INFO - train loss:5.1803, step:1700
2026-01-09 10:26:13,595 - INFO - train loss:5.2744, step:1710
2026-01-09 10:26:20,776 - INFO - train loss:5.2178, step:1720
2026-01-09 10:26:27,960 - INFO - train loss:5.2794, step:1730
2026-01-09 10:26:35,151 - INFO - train loss:5.1096, step:1740
2026-01-09 10:26:42,338 - INFO - train loss:5.1369, step:1750
2026-01-09 10:26:49,531 - INFO - train loss:5.2029, step:1760
2026-01-09 10:26:56,735 - INFO - train loss:5.2130, step:1770
2026-01-09 10:27:03,948 - INFO - train loss:5.1211, step:1780
2026-01-09 10:27:11,168 - INFO - train loss:5.1690, step:1790
2026-01-09 10:27:18,394 - INFO - train loss:5.2532, step:1800
2026-01-09 10:27:25,625 - INFO - train loss:5.1261, step:1810
2026-01-09 10:27:32,862 - INFO - train loss:5.2157, step:1820
2026-01-09 10:27:40,098 - INFO - train loss:5.1381, step:1830
2026-01-09 10:27:47,343 - INFO - train loss:5.1186, step:1840
2026-01-09 10:27:54,602 - INFO - train loss:5.0165, step:1850
2026-01-09 10:28:01,842 - INFO - train loss:5.1626, step:1860
2026-01-09 10:28:09,093 - INFO - train loss:5.1589, step:1870
2026-01-09 10:28:16,345 - INFO - train loss:5.0942, step:1880
2026-01-09 10:28:23,599 - INFO - train loss:5.1981, step:1890
2026-01-09 10:28:30,856 - INFO - train loss:5.1439, step:1900
2026-01-09 10:28:38,118 - INFO - train loss:5.1281, step:1910
2026-01-09 10:28:45,386 - INFO - train loss:5.0371, step:1920
2026-01-09 10:28:52,657 - INFO - train loss:5.1685, step:1930
2026-01-09 10:28:59,928 - INFO - train loss:5.0788, step:1940
2026-01-09 10:29:07,201 - INFO - train loss:5.0153, step:1950
2026-01-09 10:29:14,482 - INFO - train loss:5.0973, step:1960
2026-01-09 10:29:21,757 - INFO - train loss:5.1533, step:1970
2026-01-09 10:29:29,028 - INFO - train loss:5.1727, step:1980
2026-01-09 10:29:36,280 - INFO - train loss:5.1993, step:1990
2026-01-09 10:30:16,443 - INFO - step:2000, val_loss: 5.0878
2026-01-09 10:30:17,174 - INFO - train loss:5.1141, step:2000
2026-01-09 10:30:30,369 - INFO - train loss:5.1859, step:2010
2026-01-09 10:30:37,598 - INFO - train loss:5.0833, step:2020
2026-01-09 10:30:44,818 - INFO - train loss:5.0498, step:2030
2026-01-09 10:30:52,052 - INFO - train loss:5.0266, step:2040
2026-01-09 10:30:59,283 - INFO - train loss:5.0252, step:2050
2026-01-09 10:31:06,521 - INFO - train loss:5.1035, step:2060
2026-01-09 10:31:13,773 - INFO - train loss:5.0749, step:2070
2026-01-09 10:31:21,030 - INFO - train loss:5.0719, step:2080
2026-01-09 10:31:28,656 - INFO - train loss:5.0087, step:2090
2026-01-09 10:31:35,904 - INFO - train loss:4.9455, step:2100
2026-01-09 10:31:43,161 - INFO - train loss:4.9558, step:2110
2026-01-09 10:31:50,427 - INFO - train loss:4.9874, step:2120
2026-01-09 10:31:57,696 - INFO - train loss:5.0263, step:2130
2026-01-09 10:32:04,979 - INFO - train loss:5.0707, step:2140
2026-01-09 10:32:12,255 - INFO - train loss:5.0329, step:2150
2026-01-09 10:32:19,551 - INFO - train loss:5.0820, step:2160
2026-01-09 10:32:26,834 - INFO - train loss:5.0696, step:2170
2026-01-09 10:32:34,111 - INFO - train loss:4.9654, step:2180
2026-01-09 10:32:41,391 - INFO - train loss:5.1670, step:2190
2026-01-09 10:32:48,679 - INFO - train loss:4.9877, step:2200
2026-01-09 10:32:55,973 - INFO - train loss:5.0567, step:2210
2026-01-09 10:33:03,252 - INFO - train loss:4.9537, step:2220
2026-01-09 10:33:10,535 - INFO - train loss:5.0792, step:2230
2026-01-09 10:33:17,798 - INFO - train loss:4.9785, step:2240
2026-01-09 10:33:25,049 - INFO - train loss:4.9743, step:2250
2026-01-09 10:33:32,295 - INFO - train loss:4.9963, step:2260
2026-01-09 10:33:39,535 - INFO - train loss:4.9492, step:2270
